순번,법무법인명,주소
292,법무법인진평,서울특별시 서초구 서초동 1676의5다민빌딩2층
293,법무법인다원,서울특별시 서초구 서초동 1702의8 대원빌딩2층
294,법무법인대광,서울특별시 강남구 역삼동 823의21대공빌딩14층
295,법무법인빛고을종합법률사무소,광주광역시 동구 지산동 373-7 2층
296,법무법인성의,서울특별시 서초구 서초동 1716의2부림빌딩501호
297,(대행청)해남지청,전라남도 해남군 해남읍 구교리 390
298,법무법인사랑,"서울특별시 강남구 선릉로 661 (논현동, 석영빌딩) 6층"
299,법무법인(유한)주원,"서울특별시 강남구 언주로 711 (논현동, 법무법인주원) 601호"
300,법무법인(유한)율촌,"서울특별시 강남구 테헤란로 518 (대치동, 섬유센터빌딩) 13층"
301,법무법인대성,"서울특별시 강남구 강남대로 442 (역삼동, 서울역삼동우체국) 흥국생명빌딩 5층"
302,강북합동법률사무소,서울특별시 중구 을지로3가 296-2 상립빌딩 601호
303,법무법인시티,"서울특별시 광진구 아차산로 405 (구의동, 대성빌딩) 대성빌딩 1층 102호"
304,남부종합법무법인,"서울특별시 양천구 신월로 383 (신정동, 법조타운) 2층 201호"
305,법무법인덕양,경기도 고양시 덕양구 화정동 969-1 새롬프라자 701호
306,법무법인광명,"경기도 광명시 오리로 902 (철산동, 금산빌딩) 502호"
307,대원종합법무법인,"충청북도 충주시 계명대로 104, 2층(교현동)"
308,법무법인정우,울산광역시 남구 문수로 481 (신정동) 정우빌딩 1층
309,세일합동법률사무소,서울특별시 강남구 삼성동 159 무역회관 404호
310,법무법인성실,서울특별시 구로구 구로2동 83-4 광진빌딩503호
311,법무법인강서,서울특별시 양천구 신월로 373(신정동) 동남빌딩 2층
312,법무법인한누리,서울특별시 서초구 서초동 1685의8지파이브센트럴프라자431호
313,법무법인부산,"부산광역시 연제구 거제1동 부산법조타운빌딩 406, 407"
314,법무법인소호,서울특별시 서초구 반포동 44의1장학재단빌딩701호
315,법무법인공평종합,"경기도 안양시 동안구 관양동 1597의1한솔센트럴파크3차빌딩201,202호"
316,법무법인유진,"서울특별시 서초구 서초동 1569의7유진빌딩2,3,5층"
317,(대행청)속초지청,강원도 속초시 동명동 춘천지방검찰청속초지청 사무과
318,(대행청)테스트,"경기도 과천시 관문로 47 (중앙동, 법무부) 5층"
319,법무법인나라,경기도 안양시 동안구 관양동 1597 평촌 한양월드빌 301호
320,법무법인경원,"서울특별시 서초구 서초중앙로 146 (서초동, 경원빌딩) 702호 (서초동, 경원빌딩)"
321,법무법인황해,인천광역시 남구 학익2동 20-11 반도빌딩 1층
322,법무법인정맥,"부산광역시 연제구 법원로 12 (거제동, 로윈타워빌딩)  2,3층"
323,법무법인(유한)로고스,"서울특별시 강남구 테헤란로87길 36 (삼성동, 도심공항타워) 14층"
324,법무법인(유한)대륙아주,"서울특별시 강남구 테헤란로 317 (역삼동, 대륙아주법무법인) 702-19 동훈타워 11,12,13층"
325,한국합동법률사무소,서울특별시 종로구 인사동 하나로빌딩 502
326,소공합동법률사무소,"서울특별시 중구 세종대로18길 16 (북창동, 우성빌딩) 303호 (북창동, 우성빌딩)"
327,공증인가평화합동법률사무소,"서울특별시 중구 을지로 80-1 (을지로2가, 보승빌딩) 보승빌딩 3, 4층"
328,법무법인월드,"서울특별시 광진구 아차산로 403 (구의동, 경암빌딩) 101호"
329,법무법인청솔,"서울특별시 양천구 신정4동 1013-6 2,3 층"
330,공증인가주안합동법률사무소,인천광역시 남구 학익동 239-13 홍문빌딩 6층
331,법무법인국제,부산광역시 연제구 거제1동 1490-1 부산법조타운빌딩 2층 205호
332,법무법인바른,서울특별시 강남구 대치동 1003 메디슨빌딩4층
333,법무법인세광,서울특별시 서초구 서초동 1706의4세광빌딩2층
334,법무법인세영,대구광역시 수성구 범어동 1대구엠비시15층
335,법무법인인앤인,서울특별시 서초구 서초동 1708의5 은곡빌딩5층
336,법무법인오늘,경기도 수원시 영통구 원천동 78의3 2층
337,법무법인새빛,서울특별시 서초구 서초동 1339-9 강남메트로빌딩 3층
338,법무법인해강,"울산광역시 남구 옥동 289의16동원빌딩2,3,4층"
339,법무법인제이원,경기도 안양시 동안구 관양동 1117-1호  동안타워 3층
340,법무법인비앤에스,서울특별시 강남구 역삼동 824-21 상경빌딩 12층
341,법무법인수,서울특별시 서초구 서초동 베르디타워6층
342,공증인가서일합동법률사무소,"서울특별시 강남구 테헤란로 401 (삼성동, 남경센타) 7층 2호 (삼성동, 남경센타빌딩)"
343,법무법인남부제일,"서울특별시 영등포구 영신로34길 30 영등포동4가, 2층"
344,공증인가여의도합동법률사무소,"서울특별시 영등포구 국제금융로6길 33, 706호"
345,법무법인다윈,경기도 의정부시 가능동 365-16
346,법무법인세인,경기도 수원시 영통구 원천동 78-3
347,법무법인현무,"경기도 시흥시 하중동 873-1 금천프라자103호, 303호"
348,법무법인씨티즌,인천광역시 남구 학익동 240-1
349,법무법인율림,충청남도 천안시 동남구 신부동 76-1 여흥빌딩 104호
350,삼지합동법률사무소,부산광역시 연제구 거제1동 1491-2 성신프라이언 2층 203호
351,법무법인나은,서울특별시 서초구 서초동 1555의3 신정빌딩4층
352,법무법인청률,부산광역시 연제구 거제동 1487의1정림빌딩401호
353,법무법인로월드,서울특별시 서초구 서초동 1553의5오퓨런스빌딩1602호
354,법무법인청담,서울특별시 서초구 서초동 1540의1대호아이알빌딩6층
355,법무법인랜드마크,서울특별시 강남구 역삼동 824의22홍은빌딩2층
356,법무법인가교,서울특별시 서초구 서초동 1537의1개념원리빌딩4층
357,법무법인태안,서울특별시 강남구 삼성동 159-6  도심공항터미널 701호 
358,법무법인청맥,"서울특별시 서초구 서초중앙로 164 (서초동, 신한국빌딩) 6층"
359,법무법인서정,서울특별시 강남구 역삼1동 737 강남파이낸스센터빌딩9층
360,법무법인태웅,"서울특별시 강남구 역삼로 114 (역삼동, 현죽빌딩) 13층"
361,신세계합동법률사무소,서울특별시 중구 명동2가 95 금성빌딩201호
362,현대합동법률사무소,서울특별시 중구 태평로2가 360-1 광학빌딩
363,경기제일합동법률사무소,경기도 수원시 영통구 매탄동 1195-3 남부빌딩 3층
364,법무법인창조,경기도 성남시 분당구 서현동 265-6
365,제일종합법무법인,"경기도 성남시 수정구 단대동 94-3 신생빌딩 1, 3층"
366,법무법인단원,경기도 안산시 단원구 고잔동 710 중앙법조빌딩 102호
367,법무법인위민,인천광역시 부평구 경인로 194-4 대신스카이프라자3층
368,법무법인엘에스,경기도 김포시 사우동 248-1 부흥빌딩 1층
369,법무법인율곡,강원도 강릉시 임영로 115 (성내동) 3층
370,법무법인청암,"충청남도 천안시 동남구 신부동 75-1 중앙빌딩1층 104호, 신부동 761 여흥빌딩 104, 403호"
371,법무법인명장,"충청북도 청주시 흥덕구 산남로62번길 31, 401호"
372,새부산합동법률사무소,부산광역시 연제구 거제동 1486-2 만해포럼빌딩 5층
373,법무법인법고을,"울산광역시 남구 문수로 311 1,2층"
374,법무법인우신,인천광역시 남구 학익동 251의5대흥법조빌딩403호
375,법무법인서울,서울특별시 서초구 서초동 1573의10로이어즈타워13층
376,법무법인인덕,서울특별시 강남구 논현동 120 건우빌딩 3층
377,법무법인송백,"서울특별시 서초구 서초대로 286 (서초동, 서초프라자) 605,607,610호"
378,법무법인누리,경기도 안양시 동안구 관양동 1597-1 한솔센트럴파크 3차 210호 
379,법무법인선우,서울특별시 서초구 서초동 한승아스트라 9층
380,법무법인새서울,"서울특별시 서초구 서초대로 330 (서초동, 영일빌딩) 5층"
381,법무법인태한,서울특별시 서초구 서초동 1714-17 칠보빌딩 1층
382,법무법인우인,"서울특별시 종로구 종로3길 34 (청진동, 삼송빌딩) 801호"
383,법무법인서경,경상남도 진주시 진양호로 302 (신안동) 5층
384,공증인가동방합동법률사무소,대구광역시 수성구 범어동 45-5 301호
385,법무법인조율,서울특별시 서초구 서초동 1318의2 통영빌딩14층
386,법무법인서광,서울특별시 서초구 서초동 15535오퓨런스빌딩12층
387,법무법인백제,전라북도 전주시 덕진구 덕진동1가 1433-6
388,법무법인(유한)화우,"서울특별시 강남구 영동대로 517 (삼성동, 아셈타워) 22층"
389,법무법인한터,서울특별시 서초구 서초동 1554-4 오피스 빌딩 3층
390,중부종합법무법인,서울특별시 서초구 서초동 1704-1 정곡빌딩동관 2층
391,법무법인정암,"서울특별시 서초구 서초동 1713-1 한승아스트라2빌딩 403,404호"
392,서초법무법인,서울특별시 서초구 서초동 1713-4 길도빌딩 505호
393,법무법인(유한)우일,"서울특별시 서초구 서초중앙로 148 (서초동, 희성빌딩) 10층"
394,공증인가동대구합동법률사무소,대구광역시 수성구 범어동 177-10 대구일보건물 5층
395,공증인가목포합동법률사무소,전라남도 목포시 용해동 965-5
396,법무법인서울다솔,서울특별시 서초구 서초동 1699의5 로펌에비뉴 506호
397,법무법인산하,서울특별시 서초구 서초동 1719의3태흥빌딩2층
398,법무법인거인,서울특별시 강남구 역삼동 824의22홍은빌딩6층
399,법무법인디지탈,경기도 성남시 수정구 단대동 69-3 태영빌딩
400,법무법인열린법률,"충청북도 충주시 계명대로 113 (교현동, 법조빌딩) 3층"
401,법무법인정민,서울특별시 서초구 서초동 1570-13 성도빌딩 7층
402,법무법인일원,"서울특별시 서초구 서초중앙로 117 (서초동, 훈민타워) 2층"
403,운산법무법인,서울특별시 서초구 서초동 1711 정곡빌딩 남관 102호
404,법무법인화평,"서울특별시 서초구 법원로1길 5 (서초동, 우암빌딩) 4층"
405,법무법인한백,"서울특별시 서초구 반포대로 138 (서초동, 양진빌딩) 4층"
406,법무법인현정,서울특별시 양천구 신정동 995의6정동프라자5층
407,법무법인한우리,서울특별시 서초구 서초동 1554-4 현대드림시티 3층
408,(대행청)영덕지청,경상북도 영덕군 영덕읍 화개리 265
409,법무법인이현,"서울특별시 서초구 서초대로50길 104 (서초동, 코랜드빌딩) 3층"
410,선명법무법인,"서울특별시 강남구 테헤란로 306 (역삼동, 카이트타워) 14층"
411,법무법인법흥,"서울특별시 중구 남대문로 109 (다동, 국제빌딩) 국제빌딩 702호"
412,법무법인코러스,"서울특별시 종로구 종로 199 (종로4가, 한일빌딩) 1002호"
413,법무법인대구,대구광역시 수성구 동대구로 357 (범어동) 범어동
414,법무법인경북삼일,경상북도 구미시 송정동 34-3
415,법무법인대아,서울특별시 양천구 신정동 1009의6남부빌딩501호
416,법무법인춘추,서울특별시 서초구 서초동 1703의7대산빌딩5층
417,법무법인이룸,서울특별시 서초구 서초동 1572의7태양빌딩8층
418,법무법인새길,경기도 성남시 분당구 서현동 246-1 금화빌딩 503호
419,중앙합동법률사무소,서울특별시 중구 태평로2가 70-5 해남빌딩 315
420,법무법인대양,서울특별시 송파구 가락동 99-3 제일빌딩 912-914
421,법무법인디엘에스,서울특별시 구로구 구로동 197-33 이앤씨벤처드림타워 3차509호
422,법무법인국민,서울특별시 노원구 공릉동 617-7 대화빌딩 2층
423,법무법인해우,경기도 용인시 수지구 풍덕천동 713-5 금호프라자 5층
424,법무법인우진,경기도 안양시 동안구 관양동 1594-1 효성인텔리안318호
425,법무법인여산,인천광역시 남구 학익동 252-6 학일빌딩 2층
426,법무법인주성,충청북도 청주시 흥덕구 산남로70번길 14
427,법무법인세헌,부산광역시 중구 중앙동6가 국제빌딩 3층
428,법무법인동서남북,서울특별시 서초구 서초동 1554의2 순영빌딩6층
429,법무법인천지인,서울특별시 서초구 서초동 1694의8우민빌딩3층
430,법무법인중추,서울특별시 서초구 서초동 1697의12 중추빌딩3층
431,법무법인솔루션,서울특별시 서초구 서초동 1542의1동일하이빌212호
432,법무법인지후,서울특별시 서초구 서초동 1699의3신한국빌딩3층
433,공증인가대전합동,대전광역시 서구 둔산동 1391 서림빌딩 3층
434,법무법인로투스,"서울특별시 서초구 서초중앙로28길 2 (서초동, 승원빌딩) 5층"
435,법무법인범어,"대구광역시 수성구 범어동 33-10, 법무빌딩 2층"
436,법무법인(유한)에이펙스,"서울특별시 강남구 강남대로 330 (역삼동, 우덕빌딩) 4층"
437,법무법인정일,"서울특별시 양천구 신월로 375 (신정동) , 공평빌딩 3층"
438,법무법인삼덕,부산광역시 연제구 거제동 1490-3 세헌빌딩 4층
439,법무법인문수법률사무소,"울산광역시 남구 법대로 86-7 (옥동) 2층(옥동, 명인빌딩)"
440,법무법인신한,"서울특별시 종로구 종로 19 (종로1가, 르메이에르종로타운) 403-1호"
441,법무법인청구,서울특별시 관악구 관악로 174 (봉천동) 2층
442,법무법인민주,"서울특별시 서초구 서초중앙로 215 (반포동, 홍익대학교강남교육원) 7층"
443,법무법인새시대,서울특별시 양천구 신월로 385  3층 303호
444,법무법인대일,서울특별시 영등포구 여의도동 25-4 신송빌딩 301호
445,법무법인동산,경기도 구리시 인창동 264-4 쌍용플래티넘 선스타워 4층 404호
446,법무법인신문고,경기도 성남시 분당구 구미동 8-2
447,평택법무법인,"경기도 평택시 평남로 1045 (동삭동, 손문빌딩) 2, 4층 201, 401호(동삭동, 손문빌딩)"
448,법무법인다비다,경기도 부천시 원미구 상동 448-1 뉴법조타운 103호
449,동서법무법인,경상남도 창원시 사파동 78 성은빌딩
450,법무법인삼흥,서울특별시 강남구 역삼동 705-9 삼흥빌딩1301호
451,공증인가송파합동법률사무소,서울특별시 송파구 백제고분로365 태문빌딩 8층
452,법무법인한림,"서울특별시 강서구 화곡로 301 (화곡동, 원풍빌딩) , 5층"
453,법무법인자우,서울특별시 구로구 구로동 235-2 에이스하이엔드타워201호
454,법무법인서현,경기도 성남시 분당구 서현동 245-2 보람코아빌딩 608호
455,법무법인로웰,"인천광역시 남구 소성로 159 (학익동, 현준솔로몬시티) 3층"
456,법무법인부일,"경기도 부천시 원미구 상일로 130, 202호 상동, 법조타운"
457,공증인가춘천합동법률사무소,강원도 춘천시 효자2동 709 대양빌딩 4층
458,법무법인청풍로펌,"충청북도 청주시 흥덕구 원흥로 86 (산남동, 청풍로펌) 86"
459,공증인가부산합동법률사무소,부산광역시 서구 부민동1가 10
460,서도법무법인,충청남도 천안시 동남구 신부동 76-11 수석빌딩 1층
461,대한법무법인,"서울특별시 서초구 동작대로 36 (방배동, 대광빌딩) 3층"
462,공증인가동남합동법률사무소,"서울특별시 강남구 테헤란로 522 (대치동, 홍우빌딩) 7층 (대치동, 홍우빌딩)"
463,법무법인일조디지털,서울특별시 구로구 구로동 212-30 에이스트윈타워2창 201호
464,법무법인자유,서울특별시 도봉구 마들로 764 보성빌딩 2층
465,공증인가고려합동법률사무소,서울특별시 마포구 공덕동 256-13 제일빙딩
466,법무법인효원,경기도 수원시 영통구 원천동 84-22 법조빌딩 2층
467,법무법인정동,경기도 부천시 원미구 상동 뉴법조타운 102호
468,법무법인오아시스,경기도 부천시 원미구 상동 법조타운빌딩 701호
469,대전종합법무법인,대전광역시 서구 둔산동 1392
470,법무법인우리들,부산광역시 연제구 법원남로 16 협성법조빌딩2층
471,매일합동법률사무소,부산광역시 연제구 거제1동 1493-3 보은빌딩 203호
472,법무법인김해앤세계,경상남도 김해시 부원동 620-3 신협빌딩 5층
473,법무법인수호,경기도 성남시 분당구 구미동 8-2 MD프라자 603호
474,법무법인우리하나로,경상북도 구미시 송정동 58  301호
475,법무법인더펌,"서울특별시 서초구 서초동 1713의4길도빌딩406,407호"
476,법무법인태청,"서울특별시 강남구 강남대로 246 (도곡동, 다림빌딩) 4층"
477,강남제일합동법률사무소,서울특별시 서초구 서초동 1716-2 부림빌딩 301호
478,한양합동법률사무소,서울특별시 서초구 양재동 1-26 성문빌딩 2층
479,필동합동법률사무소,서울특별시 중구 필동1가 39-1 국제빌딩 3층
480,법무법인다우,서울특별시 영등포구 여의도동 26-5 대오빌딩 5층
481,법무법인정성,서울특별시 강북구 번1동 446-13 704호
482,법무법인율목,경기도 군포시 금정동 847-2 동영센트럴타워316
483,법무법인겨레,인천광역시 남구 학익동 251-5  대흥법조빌딩
484,해동법무법인,인천광역시 남구 학익동 243 평창빌딩 301호
485,3.1합동법률사무소,부산광역시 연제구 거제동 1498-2 위너스빌딩 3층
486,법무법인금강,경상남도 김해시 내동 1070-7
487,창원법무법인,경상남도 창원시 사파동 84-1 가야빌딩 302호
488,법무법인세경,서울특별시 종로구 신문로1가 163
489,법무법인아테나,서울특별시 도봉구 도봉동 625의203지성빌딩2층
490,법무법인(유한)영진,"서울특별시 강남구 테헤란로 131 (역삼동, 한국지식재산센터) 12층"
491,법무법인삼양,부산광역시 중구 중앙동4가 89-1(외환은행 5층)
492,법무법인명인,인천광역시 남구 학익동 240-1 명인빌딩 101호
493,강남종합법무법인,"서울특별시 동작구 동작대로 85 (사당동) 7층 (사당동, 우석빌딩)"
494,한성합동법률사무소,"서울특별시 강남구 삼성동 141-33, 34 리0타워9층"
495,일양합동법률사무소,서울특별시 서초구 잠원동 37-12 논현빌딩 5층
496,삼성합동법률사무소,서울특별시 종로구 신문로1가 25 용마빌딩 301호
497,동서울합동법률사무소,서울특별시 종로구 연지동 기독교회관 5층
498,한복합동법률사무소,서울특별시 중구 남대문로2가 한진빌딩 본관 9층 901호
499,공증인가경향합동법률사무소,"서울특별시 중구 남대문로 64 (명동2가) 201호 (명동2가, 금성빌딩)"
500,법무법인대현,경기도 성남시 분당구 야탑동 360-6 메트로빌딩 7층 701호
501,법무법인새얼,인천광역시 남구 학익2동 240-47 선정빌딩1층
502,법무법인대전합동,대전광역시 서구 둔산로 137번길 44 서림빌딩 301호
503,공증인가부산제일합동법률사무소,부산광역시 연제구 거제동 1487-1 청림빌딩 207
504,법무법인부산동부,부산광역시 해운대구광역시 재송동 1129-1
505,공증인가법무법인한우리,"서울특별시 서초구 서초동 1554의4현대드림시티3,4,15층"
506,법무법인그린,서울특별시 서초구 서초동 1550의10초석빌딩4층
507,법무법인자연수,서울특별시 서초구 서초동 1306의3 한승빌딩2층
508,법무법인퍼스트,서울특별시 강남구 대치동 946의18 대원빌딩
509,법무법인백석,서울특별시 서초구 서초동 1673으1인앤인빌딩6층
510,(대행청)거창지청,경상남도 거창군 거창읍 상림리 1-11
511,법무법인계양종합,인천광역시 계양구 작전동 866-2번지 3층
512,공증인가북부합동법률사무소,"서울특별시 도봉구 도봉동 631-3 거봉빌딩 1층 5, 6호"
513,법무법인위너스,"서울특별시 마포구 마포대로 180 ,101호 공덕동 마포법조빌딩 "
514,법무법인안양,경기도 안양시 동안구 관양동 1597 한양월드빌 207호
515,법무법인서해,인천광역시 남구 학익동 269-20 인성빌딩2층
516,법무법인백범,인천광역시 남구 학익동 252-9 중앙법조빌딩 1층
517,법무법인이인,서울특별시 서초구 서초동 1656의1성재빌딩4층
518,법무법인우원,"서울특별시 서초구 서초대로 330 (서초동, 영일빌딩) 3층"
519,법무법인대명,서울특별시 서초구 서초동 1573의1서초프라자1101호
520,법무법인동호합동법률사무소,서울특별시 강남구 신사동 584 규명빌딩 2층
521,법무법인서울제일,"서울특별시 강남구 테헤란로 151 (역삼동, 역삼하이츠빌딩) 11층"
522,법무법인이산,서울특별시 구로구 구로3동 1125-1 부호빌딩 302호
523,공증인가남서울합동법률사무소,서울특별시 영등포구 당산동3가 386-1 서림빌딩 5층
524,법무법인신지평,"경기도 의정부시 가능동 365-30 정욱빌딩 2,4,5층"
525,법무법인명성,경기도 남양주시 경춘로 368 101호(가운동 브릭스타워)
526,법무법인장인,"경기도 수원시 영통구 원천동 83-8 장인빌딩 2, 3층"
527,법무법인구덕,"부산광역시 연제구 거제동 1491-2 성신프라이언빌딩 3,4층"
528,법무법인신성,"부산광역시 연제구 거제1동 세종빌딩 3, 4층"
529,법무법인정동국제,서울특별시 종로구 서린동 149청계일레븐빌딩10층
530,법무법인21세기종합법률사무소,"광주광역시 동구 지산동 714-20 (1층, 5층)"
531,법무법인산호,서울특별시 서초구 서초동 1719의4양진빌딩4층401호
532,법무법인이엘케이,서울특별시 서초구 서초동 1603의1 블루핀타워8층
533,법무법인도움,서울특별시 서초구 서초동 1714의4 서호빌딩302호
534,(대행청)상주지청,경상북도 상주시 만산동 652-2
535,(대행청)공주지청,충청남도 공주시 반죽동 332
536,법무법인호수,경기도 고양시 일산동구 장항동 891-4 보림빌딩 4층
537,법무법인화산,경기도 수원시 영통구 원천동 85-3 화산빌딩 102호
538,법무법인다산,"경기도 수원시 영통구 원천동 84-1 전원빌딩 제301호, 제202호"
539,법무법인유일,서울특별시 서초구 서초중앙로 153 (서초동) 201호
540,법무법인(유한)한길,서울특별시 강남구 테헤란로87길 22  한국도심공항터미널빌딩 617
541,법무법인(유한)태평양,서울특별시 강남구 역삼동 647-15 한국타이어빌딩
542,동아합동법률사무소,"서울특별시 서초구 서초동 1692-6 동아합동빌딩 5,6층"
543,법무법인동일,"서울특별시 송파구 송파대로 260 (제일오피스텔) 912호, 913호, 914호"
544,법무법인티엘비에스,"서울특별시 광진구 천호대로 561 (중곡동, 영창빌딩) 157-4 영창빌딩 12층"
545,법무법인이일,"서울특별시 양천구 신월로 389(신정동,남부빌딩) 108,109,110호"
546,법무법인우성,서울특별시 서초구 서초동 1554의4현대드림시티11층
547,법무법인으뜸,서울특별시 서대문구 창천동 30-9 광신빌딩 301호
548,경희법무법인,"경기도 용인시 처인구 김량장동 334-2 거성빌딩 401, 402"
549,법무법인우리법률,인천광역시 부평구 부평4동 373-26 추인타워 301호
550,법무법인청안,서울특별시 서초구 서초동 1706의5브이알빌딩303호
551,법무법인규로,경상남도 창원시 사파동 82 대성빌딩 3층
552,법무법인내일,대전광역시 서구 둔산동 1395민석타워3층
553,(대행청)영월지청,강원도 영월군 영월읍 영흥8리 876
554,법무법인정헌,부산광역시 연제구 거제동 1486의5 로펌빌딩5층
555,법무법인세승,서울특별시 강남구 역삼동 702의2비전타워9층
556,법무법인둔산,대전광역시 서구 둔산동 1391 서림빌딩 901호
557,법무법인로앰,서울특별시 강남구 대치동 946의18대원빌딩9층
558,법무법인수목,서울특별시 서초구 서초동 1708의1화인빌딩3층
559,법무법인승지,서울특별시 서초구 서초동 1718의5 지천빌딩5층
560,법무법인강산,서울특별시 서초구 서초동 1572의5청록빌딩4층
561,법무법인율려,서울특별시 강남구 역삼동 648의1비와이시빌딩903호
562,법무법인신라,대구광역시 수성구 범어동 35의1우방유셀4층
563,법무법인(유한)백상,서울특별시 강남구 테헤란로4길 7 (역삼동) 역삼빌딩3층
564,관악법무법인,서울특별시 관악구 봉천동 858-7 관악빌딩 3층
565,한일합동법률사무소,서울특별시 중구 서소문동 50-2 삼령빌딩
566,국제합동법률사무소,서울특별시 중구 을지로1가 192-11 재능빌딩 14층
567,법무법인신촌,서울특별시 마포구 노고산동 57-12 태영빌딩 3층
568,법무법인정언,"경기도 구리시 경춘로 두진에코맥스 7층 707호, 708호"
569,법무법인일산,"경기도 고양시 일산동구 장항동 891 일산법조빌딩 3, 4층"
570,법무법인가인,"경기도 고양시 일산동구 장항동 891-2 성암빌딩 101, 301"
571,법무법인한마음,경기도 평택시 동삭동 151-8 법률회관
572,법무법인정,인천광역시 남구 학익동 251-5 대흥법조빌딩 101호
573,중도법무법인,대전광역시 서구 둔산동 1389
574,법무법인의림종합법률사무소,충청북도 제천시 의림동 25-2 청솔빌딩 1-3층
575,법무법인동래,부산광역시 연제구 거제1동 세헌빌딩 5층
